chapter,title,word_count,characters,events,source_url,parsed_at
85,81. [The World’s Shabbiest. (1) ],2890,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-85,2026-05-27T17:44:00.077241
86,82. [The World’s Shabbiest. (2) ],2692,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-86,2026-05-27T17:44:00.082083
87,83. [Sword Dance. (1) ],2902,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-87,2026-05-27T17:44:00.086446
88,84. [ Sword Dance. (2) ],2671,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-88,2026-05-27T17:44:00.091210
89,85. [A Reader’s Mind. (1) ],2955,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-89,2026-05-27T17:44:00.096320
90,86. [A Reader’s Mind. (2) ],2459,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-90,2026-05-27T17:44:00.100316
91,87. [A Reader’s Mind. (3) ],2474,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-91,2026-05-27T17:44:00.104407
92,88. [Dead Ends are the Norm. (1) ],3219,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-92,2026-05-27T17:44:00.108684
93,89. [Dead Ends are the Norm. (2) ],2431,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-93,2026-05-27T17:44:00.113482
94,90. [Dead Ends are the Norm. (3) ],2395,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-94,2026-05-27T17:44:00.117671
95,91. [Fall In. (1) ],2309,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-95,2026-05-27T17:44:00.121921
96,92. [Fall In. (2) ],2439,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-96,2026-05-27T17:44:00.126260
97,93. [Fall in. (3) ],2370,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-97,2026-05-27T17:44:00.131132
98,94. [Villain. (1) ],2933,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-98,2026-05-27T17:44:00.135484
99,95. [Villain. (2) ],2353,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-99,2026-05-27T17:44:00.139583
100,96. [Villain. (3)],2603,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-100,2026-05-27T17:44:00.144344
101,97. [Your Heart. (1) ],2630,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-101,2026-05-27T17:44:00.152898
102,98. Your Heart. (2),2704,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-102,2026-05-27T17:44:00.157188
103,99. [Your Heart. (3) ],2930,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-103,2026-05-27T17:44:00.161726
104,100. [ Drama. (1) ],2400,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-104,2026-05-27T17:44:00.166705
105,101. [Drama. (2)],2400,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-105,2026-05-27T17:44:00.170969
106,102. [Drama. (3)],2496,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-106,2026-05-27T17:44:00.175487
107,103. [The Way He Loves. (1)],2577,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-107,2026-05-27T17:44:00.180004
108,104. [The Way He Loves. (2)],2592,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-108,2026-05-27T17:44:00.185368
109,105. [The Way He Loves. (3)],2168,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-109,2026-05-27T17:44:00.189435
110,106. [1 DAYS. (1)],2419,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-110,2026-05-27T17:44:00.193627
111,107. [1 DAYS. (2)],2346,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-111,2026-05-27T17:44:00.198885
112,108. [1 DAYS. (3)],2719,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-112,2026-05-27T17:44:00.203423
113,109. [The Way She Loves. (1)],2969,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-113,2026-05-27T17:44:00.208165
114,109.1 [Manwoojeol Extra],1471,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-114,2026-05-27T17:44:00.212337
115,110. [The Way She Loves. (2)],2324,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-115,2026-05-27T17:44:00.216550
116,111. [The Way She Loves. (3)],2489,[],[],https://novelfire.net/book/sss-class-suicide-hunter/chapter-116,2026-05-27T17:44:00.220775
